project,run_id,date_time_run,model_name,metric_name,metric_value
example,dd23c257-ff15-4d06-a434-57187d7c90f2,2024-01-06 18:05:20,RandomForest,recall,0.7191011235955056
example,ee20e4f0-33e7-444a-9e55-014d54312eeb,2024-01-06 18:05:46,RandomForest,accuracy,0.7953488372093023
example,ee20e4f0-33e7-444a-9e55-014d54312eeb,2024-01-06 18:05:46,RandomForest,precision,0.7710843373493976
example,ee20e4f0-33e7-444a-9e55-014d54312eeb,2024-01-06 18:05:46,RandomForest,recall,0.7191011235955056
example,16748d8f-ce2c-4865-9c97-83cb05265997,2024-01-07 12:01:17,RandomForest,accuracy,0.7953488372093023
example,16748d8f-ce2c-4865-9c97-83cb05265997,2024-01-07 12:01:17,RandomForest,precision,0.7710843373493976
example,16748d8f-ce2c-4865-9c97-83cb05265997,2024-01-07 12:01:17,RandomForest,recall,0.7191011235955056
example,d455d73c-71c6-4dbf-9a0d-73eec0b0cf35,2024-01-07 12:11:00,RandomForest,accuracy,0.7953488372093023
example,d455d73c-71c6-4dbf-9a0d-73eec0b0cf35,2024-01-07 12:11:00,RandomForest,precision,0.7710843373493976
example,d455d73c-71c6-4dbf-9a0d-73eec0b0cf35,2024-01-07 12:11:00,RandomForest,recall,0.7191011235955056
example,87de7368-6c2b-494f-b290-8e60126214ec,2024-01-07 12:55:38,RandomForest,accuracy,0.7953488372093023
example,87de7368-6c2b-494f-b290-8e60126214ec,2024-01-07 12:55:38,RandomForest,precision,0.7710843373493976
example,87de7368-6c2b-494f-b290-8e60126214ec,2024-01-07 12:55:38,RandomForest,recall,0.7191011235955056
example,627e7613-3401-4e7c-a685-33c06e7f3ed5,2024-01-08 20:17:39,RandomForest,accuracy,0.7953488372093023
example,627e7613-3401-4e7c-a685-33c06e7f3ed5,2024-01-08 20:17:39,RandomForest,precision,0.7710843373493976
example,627e7613-3401-4e7c-a685-33c06e7f3ed5,2024-01-08 20:17:39,RandomForest,recall,0.7191011235955056
example,22be2a43-711e-41e6-b9b2-bafbef122c01,2024-01-08 20:24:34,RandomForest,accuracy,0.7953488372093023
example,22be2a43-711e-41e6-b9b2-bafbef122c01,2024-01-08 20:24:34,RandomForest,precision,0.7710843373493976
example,22be2a43-711e-41e6-b9b2-bafbef122c01,2024-01-08 20:24:34,RandomForest,recall,0.7191011235955056
example,8d015b3d-a47f-4461-8b42-4e172fecf17a,2024-01-08 20:29:07,RandomForest,accuracy,0.7953488372093023
example,8d015b3d-a47f-4461-8b42-4e172fecf17a,2024-01-08 20:29:07,RandomForest,precision,0.7710843373493976
example,8d015b3d-a47f-4461-8b42-4e172fecf17a,2024-01-08 20:29:07,RandomForest,recall,0.7191011235955056
example,41649e13-f2fd-4dfb-8599-0f73c296d0d0,2024-01-08 21:32:33,RandomForest,accuracy,0.7953488372093023
example,41649e13-f2fd-4dfb-8599-0f73c296d0d0,2024-01-08 21:32:33,RandomForest,precision,0.7710843373493976
example,41649e13-f2fd-4dfb-8599-0f73c296d0d0,2024-01-08 21:32:33,RandomForest,recall,0.7191011235955056
example,1fd6ffce-78df-4a6e-9a30-5f30a82ffb18,2024-01-08 21:38:57,RandomForest,accuracy,0.7953488372093023
example,1fd6ffce-78df-4a6e-9a30-5f30a82ffb18,2024-01-08 21:38:57,RandomForest,precision,0.7710843373493976
example,1fd6ffce-78df-4a6e-9a30-5f30a82ffb18,2024-01-08 21:38:57,RandomForest,recall,0.7191011235955056
example,8891d7bb-b00c-41fa-934c-fc6dcd3edaae,2024-01-08 21:41:02,RandomForest,accuracy,0.7953488372093023
example,8891d7bb-b00c-41fa-934c-fc6dcd3edaae,2024-01-08 21:41:02,RandomForest,precision,0.7710843373493976
example,8891d7bb-b00c-41fa-934c-fc6dcd3edaae,2024-01-08 21:41:02,RandomForest,recall,0.7191011235955056
example,e28fe87a-4410-4e8e-b863-d3d5b489779f,2024-01-13 09:37:20,RandomForest,accuracy,0.7953488372093023
example,e28fe87a-4410-4e8e-b863-d3d5b489779f,2024-01-13 09:37:20,RandomForest,precision,0.7710843373493976
example,e28fe87a-4410-4e8e-b863-d3d5b489779f,2024-01-13 09:37:20,RandomForest,recall,0.7191011235955056
example,d3ca322b-69da-4a25-ac63-48ea8a0a331e,2024-02-03 17:13:05,RandomForest,accuracy,0.7953488372093023
example,d3ca322b-69da-4a25-ac63-48ea8a0a331e,2024-02-03 17:13:05,RandomForest,precision,0.7710843373493976
example,d3ca322b-69da-4a25-ac63-48ea8a0a331e,2024-02-03 17:13:05,RandomForest,recall,0.7191011235955056
example,012f6e1d-1a6d-4cb5-a687-eb341f4ce6e5,2024-02-03 18:12:37,RandomForest,accuracy,0.7953488372093023
example,012f6e1d-1a6d-4cb5-a687-eb341f4ce6e5,2024-02-03 18:12:37,RandomForest,precision,0.7710843373493976
example,012f6e1d-1a6d-4cb5-a687-eb341f4ce6e5,2024-02-03 18:12:37,RandomForest,recall,0.7191011235955056
example,ee15c5af-12d3-431f-9357-05d29b63f660,2024-02-04 16:39:00,RandomForest,accuracy,0.7953488372093023
example,ee15c5af-12d3-431f-9357-05d29b63f660,2024-02-04 16:39:00,RandomForest,precision,0.7710843373493976
example,ee15c5af-12d3-431f-9357-05d29b63f660,2024-02-04 16:39:00,RandomForest,recall,0.7191011235955056
example,b5adc1ed-d4b3-4ccc-835c-bcc5c60a353b,2024-02-04 17:21:55,RandomForest,accuracy,0.5
example,b5adc1ed-d4b3-4ccc-835c-bcc5c60a353b,2024-02-04 17:21:55,RandomForest,precision,0.5
example,b5adc1ed-d4b3-4ccc-835c-bcc5c60a353b,2024-02-04 17:21:55,RandomForest,recall,1.0
example,4bd1bc68-7a3a-433f-8f73-8e13c231bd65,2024-02-04 17:29:53,RandomForest,accuracy,0.5
example,4bd1bc68-7a3a-433f-8f73-8e13c231bd65,2024-02-04 17:29:53,RandomForest,precision,0.5
example,4bd1bc68-7a3a-433f-8f73-8e13c231bd65,2024-02-04 17:29:53,RandomForest,recall,1.0
example,3866ee28-c27d-4e32-a14f-3b2509c383db,2024-02-04 17:32:31,RandomForest,accuracy,0.5
example,3866ee28-c27d-4e32-a14f-3b2509c383db,2024-02-04 17:32:31,RandomForest,precision,0.5
example,3866ee28-c27d-4e32-a14f-3b2509c383db,2024-02-04 17:32:31,RandomForest,recall,1.0
example,2c2f97c4-2c68-439f-a9de-38955a05ccf2,2024-02-04 17:33:19,RandomForest,accuracy,0.5
example,2c2f97c4-2c68-439f-a9de-38955a05ccf2,2024-02-04 17:33:19,RandomForest,precision,0.5
example,2c2f97c4-2c68-439f-a9de-38955a05ccf2,2024-02-04 17:33:19,RandomForest,recall,1.0
example,b34ef748-69a9-4d32-a008-02f7c8ed47e9,2024-02-04 17:33:40,RandomForest,accuracy,0.5
example,b34ef748-69a9-4d32-a008-02f7c8ed47e9,2024-02-04 17:33:40,RandomForest,precision,0.5
example,b34ef748-69a9-4d32-a008-02f7c8ed47e9,2024-02-04 17:33:40,RandomForest,recall,1.0
example,649f5451-2978-47e5-b549-bd5bc6cb4837,2024-02-04 17:34:31,RandomForest,accuracy,0.5
example,649f5451-2978-47e5-b549-bd5bc6cb4837,2024-02-04 17:34:31,RandomForest,precision,0.5
example,649f5451-2978-47e5-b549-bd5bc6cb4837,2024-02-04 17:34:31,RandomForest,recall,1.0
example,343e9399-3641-4cef-97de-c1955585709f,2024-02-10 20:17:31,RandomForest,accuracy,0.5
example,343e9399-3641-4cef-97de-c1955585709f,2024-02-10 20:17:31,RandomForest,precision,0.5
example,343e9399-3641-4cef-97de-c1955585709f,2024-02-10 20:17:31,RandomForest,recall,1.0
example,b830ef9d-d439-4a36-ae31-68721bfda1d1,2024-02-10 20:17:45,RandomForest,accuracy,0.5
example,b830ef9d-d439-4a36-ae31-68721bfda1d1,2024-02-10 20:17:45,RandomForest,precision,0.5
example,b830ef9d-d439-4a36-ae31-68721bfda1d1,2024-02-10 20:17:45,RandomForest,recall,1.0
example,a080a200-3eef-46a8-a4e6-5cb8049235f6,2024-02-10 20:36:42,RandomForest,accuracy,0.5
example,a080a200-3eef-46a8-a4e6-5cb8049235f6,2024-02-10 20:36:42,RandomForest,precision,0.5
example,a080a200-3eef-46a8-a4e6-5cb8049235f6,2024-02-10 20:36:42,RandomForest,recall,1.0
example,9aeb7247-aa7c-4d2d-b345-6f3fa774cb10,2024-02-10 20:36:59,RandomForest,accuracy,0.5
example,9aeb7247-aa7c-4d2d-b345-6f3fa774cb10,2024-02-10 20:36:59,RandomForest,precision,0.5
example,9aeb7247-aa7c-4d2d-b345-6f3fa774cb10,2024-02-10 20:36:59,RandomForest,recall,1.0
example,758dfd04-4e68-4d84-afc7-e113bceae67d,2024-02-10 20:41:58,RandomForest,accuracy,0.5
example,758dfd04-4e68-4d84-afc7-e113bceae67d,2024-02-10 20:41:58,RandomForest,precision,0.5
example,758dfd04-4e68-4d84-afc7-e113bceae67d,2024-02-10 20:41:58,RandomForest,recall,1.0
example,3ec7f0d4-23f3-461d-b2d0-3a5da43b5795,2024-02-10 20:42:15,RandomForest,accuracy,0.5
example,3ec7f0d4-23f3-461d-b2d0-3a5da43b5795,2024-02-10 20:42:15,RandomForest,precision,0.5
example,3ec7f0d4-23f3-461d-b2d0-3a5da43b5795,2024-02-10 20:42:15,RandomForest,recall,1.0
example,265308b3-8b2f-420c-b65b-fa294f6d356b,2024-02-10 21:22:58,RandomForest,accuracy,0.5
example,265308b3-8b2f-420c-b65b-fa294f6d356b,2024-02-10 21:22:58,RandomForest,precision,0.5
example,265308b3-8b2f-420c-b65b-fa294f6d356b,2024-02-10 21:22:58,RandomForest,recall,1.0
example,d88993ba-4d34-493c-b907-3a2e71e08f1c,2024-02-10 21:23:55,RandomForest,accuracy,0.5
example,d88993ba-4d34-493c-b907-3a2e71e08f1c,2024-02-10 21:23:55,RandomForest,precision,0.5
example,d88993ba-4d34-493c-b907-3a2e71e08f1c,2024-02-10 21:23:55,RandomForest,recall,1.0
example,1dd1fb1e-521a-4f5e-b115-e8e19326f4ec,2024-02-10 21:26:58,RandomForest,accuracy,0.5
example,1dd1fb1e-521a-4f5e-b115-e8e19326f4ec,2024-02-10 21:26:58,RandomForest,precision,0.5
example,1dd1fb1e-521a-4f5e-b115-e8e19326f4ec,2024-02-10 21:26:58,RandomForest,recall,1.0
example,bcb4596c-2559-4a29-a3b8-32e2878ee028,2024-02-10 21:27:43,RandomForest,accuracy,0.5
example,bcb4596c-2559-4a29-a3b8-32e2878ee028,2024-02-10 21:27:43,RandomForest,precision,0.5
example,bcb4596c-2559-4a29-a3b8-32e2878ee028,2024-02-10 21:27:43,RandomForest,recall,1.0
